index,question,llm_winner,human_label,confidence,notes
0,Tên người nộp thuế và mã số thuế trong tờ khai thuế GTGT Mẫu số 01/GTGT là gì?,Tie,Tie,high,A is more complete; tie used when truncated baseline still preserves the core fact.
1,Thuế giá trị gia tăng phải nộp của hoạt động sản xuất kinh doanh trong kỳ 4 năm 2024 là bao nhiêu?,A,A,high,A is more complete; tie used when truncated baseline still preserves the core fact.
2,Nghị định 13/2023/NĐ-CP áp dụng đối với những đối tượng nào?,A,A,high,A is more complete; tie used when truncated baseline still preserves the core fact.
3,"Theo Nghị định bảo vệ dữ liệu cá nhân, dữ liệu cá nhân cơ bản bao gồm những gì liên quan đến giấy tờ tùy thân?",A,Tie,medium,A is more complete; tie used when truncated baseline still preserves the core fact.
4,Kỳ tính thuế của Tờ khai thuế giá trị gia tăng Mẫu số 01/GTGT của công ty DHA Surfaces là khi nào?,A,A,high,A is more complete; tie used when truncated baseline still preserves the core fact.
5,"Hàng hóa, dịch vụ mua vào chịu thuế suất 10% có giá trị chưa thuế là bao nhiêu?",A,A,high,A is more complete; tie used when truncated baseline still preserves the core fact.
6,"Tổng doanh thu và thuế giá trị gia tăng của hàng hóa, dịch vụ bán ra trong kỳ tính thuế là bao nhiêu?",A,A,high,A is more complete; tie used when truncated baseline still preserves the core fact.
7,Số tiền Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang là bao nhiêu?,Tie,Tie,high,A is more complete; tie used when truncated baseline still preserves the core fact.
8,Thuế giá trị gia tăng phát sinh trong kỳ của công ty DHA Surfaces được tính ra bao nhiêu và dựa trên công thức nào?,A,Tie,medium,A is more complete; tie used when truncated baseline still preserves the core fact.
9,Ai là người đại diện ký tờ khai thuế giá trị gia tăng này và ngày ký là ngày nào?,Tie,Tie,high,A is more complete; tie used when truncated baseline still preserves the core fact.
