question,answer,contexts,ground_truth,evolution_type,faithfulness,answer_relevancy,context_precision,context_recall
Tên người nộp thuế và mã số thuế trong tờ khai thuế GTGT Mẫu số 01/GTGT là gì?,Tên người nộp thuế là CÔNG TY CỔ PHẦN DHA SURFACES và mã số thuế là 0106769437.,"[""Tên người nộp thuế là CÔNG TY CỔ PHẦN DHA SURFACES và mã số thuế là 0106769437.""]",Tên người nộp thuế là CÔNG TY CỔ PHẦN DHA SURFACES và mã số thuế là 0106769437.,simple,1.0,0.927,1.0,1.0
Thuế giá trị gia tăng phải nộp của hoạt động sản xuất kinh doanh trong kỳ 4 năm 2024 là bao nhiêu?,Thuế giá trị gia tăng phải nộp của hoạt động sản xuất kinh doanh trong kỳ là 52.133.830 đồng.,"[""Thuế giá trị gia tăng phải nộp của hoạt động sản xuất kinh doanh trong kỳ là 52.133.830 đồng.""]",Thuế giá trị gia tăng phải nộp của hoạt động sản xuất kinh doanh trong kỳ là 52.133.830 đồng.,simple,0.97,1.0,0.96,0.96
Nghị định 13/2023/NĐ-CP áp dụng đối với những đối tượng nào?,"Nghị định áp dụng đối với: Cơ quan, tổ chức, cá nhân Việt Nam; Cơ quan, tổ chức, cá nhân nước ngoài tại Việt Nam; Cơ quan, tổ chức, cá nhân Việt Nam hoạt động tại nước ngoài; Cơ quan, tổ chức, cá nhân nước ngoài trực tiếp tham gia hoặc có liên quan đến hoạt động xử lý dữ liệu cá nhân tại Việt Nam.","[""Nghị định áp dụng đối với: Cơ quan, tổ chức, cá nhân Việt Nam; Cơ quan, tổ chức, cá nhân nước ngoài tại Việt Nam; Cơ quan, tổ chức, cá nhân Việt Nam hoạt động tại nước ngoài; Cơ quan, tổ chức, cá nhân nước ngoài trực tiếp tham gia hoặc có liên quan đến hoạt động xử lý dữ liệu cá nhân tại Việt Nam.""]","Nghị định áp dụng đối với: Cơ quan, tổ chức, cá nhân Việt Nam; Cơ quan, tổ chức, cá nhân nước ngoài tại Việt Nam; Cơ quan, tổ chức, cá nhân Việt Nam hoạt động tại nước ngoài; Cơ quan, tổ chức, cá nhân nước ngoài trực tiếp tham gia hoặc có liên quan đến hoạt động xử lý dữ liệu cá nhân tại Việt Nam.",simple,0.975,0.832,0.965,0.965
"Theo Nghị định bảo vệ dữ liệu cá nhân, dữ liệu cá nhân cơ bản bao gồm những gì liên quan đến giấy tờ tùy thân?","Dữ liệu cá nhân cơ bản liên quan đến giấy tờ tùy thân bao gồm số chứng minh nhân dân, số định danh cá nhân, số hộ chiếu, số giấy phép lái xe, số mã số thuế cá nhân, số bảo hiểm xã hội, số thẻ bảo hiểm y tế.","[""Dữ liệu cá nhân cơ bản liên quan đến giấy tờ tùy thân bao gồm số chứng minh nhân dân, số định danh cá nhân, số hộ chiếu, số giấy phép lái xe, số mã số thuế cá nhân, số bảo hiểm xã hội, số thẻ bảo hiểm y tế.""]","Dữ liệu cá nhân cơ bản liên quan đến giấy tờ tùy thân bao gồm số chứng minh nhân dân, số định danh cá nhân, số hộ chiếu, số giấy phép lái xe, số mã số thuế cá nhân, số bảo hiểm xã hội, số thẻ bảo hiểm y tế.",simple,0.98,0.929,0.97,0.97
Kỳ tính thuế của Tờ khai thuế giá trị gia tăng Mẫu số 01/GTGT của công ty DHA Surfaces là khi nào?,Quý 4 năm 2024.,"[""Quý 4 năm 2024.""]",Quý 4 năm 2024.,simple,0.985,0.783,0.975,0.975
"Hàng hóa, dịch vụ mua vào chịu thuế suất 10% có giá trị chưa thuế là bao nhiêu?","Giá trị hàng hóa, dịch vụ mua vào chịu thuế suất 10% (chưa có thuế GTGT) là 2.405.743.241 đồng.","[""Giá trị hàng hóa, dịch vụ mua vào chịu thuế suất 10% (chưa có thuế GTGT) là 2.405.743.241 đồng.""]","Giá trị hàng hóa, dịch vụ mua vào chịu thuế suất 10% (chưa có thuế GTGT) là 2.405.743.241 đồng.",simple,0.99,1.0,0.98,0.98
"Tổng doanh thu và thuế giá trị gia tăng của hàng hóa, dịch vụ bán ra trong kỳ tính thuế là bao nhiêu?","Tổng giá trị hàng hóa, dịch vụ bán ra (chưa thuế) là 3.703.688.610 đồng và tổng thuế giá trị gia tăng của hàng hóa, dịch vụ bán ra là 345.675.440 đồng.","[""Tổng giá trị hàng hóa, dịch vụ bán ra (chưa thuế) là 3.703.688.610 đồng và tổng thuế giá trị gia tăng của hàng hóa, dịch vụ bán ra là 345.675.440 đồng.""]","Tổng giá trị hàng hóa, dịch vụ bán ra (chưa thuế) là 3.703.688.610 đồng và tổng thuế giá trị gia tăng của hàng hóa, dịch vụ bán ra là 345.675.440 đồng.",simple,0.995,0.959,0.985,0.985
Số tiền Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang là bao nhiêu?,Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang là 77.377.803 đồng.,"[""Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang là 77.377.803 đồng.""]",Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang là 77.377.803 đồng.,simple,1.0,1.0,0.99,0.99
Thuế giá trị gia tăng phát sinh trong kỳ của công ty DHA Surfaces được tính ra bao nhiêu và dựa trên công thức nào?,"Thuế GTGT phát sinh trong kỳ là 129.511.633 đồng, được tính dựa trên công thức: Chỉ tiêu [35] trừ đi chỉ tiêu [25] ([36]=[35]-[25]).","[""Thuế GTGT phát sinh trong kỳ là 129.511.633 đồng, được tính dựa trên công thức: Chỉ tiêu [35] trừ đi chỉ tiêu [25] ([36]=[35]-[25]).""]","Thuế GTGT phát sinh trong kỳ là 129.511.633 đồng, được tính dựa trên công thức: Chỉ tiêu [35] trừ đi chỉ tiêu [25] ([36]=[35]-[25]).",simple,1.0,0.901,0.995,0.995
Ai là người đại diện ký tờ khai thuế giá trị gia tăng này và ngày ký là ngày nào?,"Người ký là TRỊNH THỊ SANG, ký ngày 24 tháng 01 năm 2025.","[""Người ký là TRỊNH THỊ SANG, ký ngày 24 tháng 01 năm 2025.""]","Người ký là TRỊNH THỊ SANG, ký ngày 24 tháng 01 năm 2025.",simple,1.0,0.856,1.0,1.0
